FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
TRUE,,,THICKNESS PLANER,thickness planer - for Jiujiang,,"250115- For PR/PO - and proposal. 
250122 - For Additional information: Lead time 11 weeks - first week of feb. 
250205 For approval
250212 POed - schedule arrival and payment
250219 - DP done. 1st week of MAY
250430 - for Maintenance Installation on Friday
250507 - for friday installation
250514 - Delayed for Dust Collector. 
250521 - fabrication of Seperate Ducting - jointer also ",2025-05-28,,,,,
FALSE,,,Gluing Station,Ducting and Fans/Cyclones,,"260107 - RFA comfac 
260206 - For Schedule c/o OJTs & Comfac - Prototyping and Simulation
260225 - For Schedule c/o OJTs & Comfac
260306 - for RFA c/o Jeff Gondran, SSD
260311 - For RFA; need to create NCO
260318 - CFD Analysis, Airflow Sizing, Design of Glue Station Ducting; Create GC and update Sir Jeff
260325 - For schedule of travel to Cabuyao Plant; contact Jonathan Peol
260401 - For schedule of travel to Cabuyao Plant; contact Jonathan Peol
260408 - Plant visit for the various ME Projects on April 10, 2026
260415 - for follow up of status c/o OJTs
260422 - Ongoing design, will update status c/o OJTs",2026-04-29,,,,,
FALSE,,,2nD Laser Turret Machine,2nD Laser Turret Machine,,"260107 - plant visit - proposal for laser turret 6KW
260206 - Machine already PRed
260220 - Supplier will send list of items needed before installation
260225 - Contact supplier of Transformer
260304 - Contacted supplier for the transformer requirements; sent specifications
260306 - quotation for approval
260311 - for approval of quotation
260318 - PR for Transformer approved
260325 - ongoing dismantling of wire gutters; relocation of Power Press machines
260401 - for schedule of relocation
260408 - for schedule of relocation; roadmap for ventillation of laser turret
260415 - for schedule of relocation; tentative schedule shipment of machine
260422 - for schedule of relocation; tentative schedule shipment of machine",2026-04-29,,,,,
FALSE,,,BFP - Water Sprinkler System in Production. ,PHase by Phase SPrinker for all Production,,"251204 - Supplier Sourcing - Demicillo - for Quote
260107 - Quotation demicillo + BFP Compliance Inspection Report and Notice to Comply
260206 - For Approval of budget for Sprinkler System
260220 - For Approval of quotation
260225 - For Follow up updated quotation
260306 - Received proposed plan; to submit to Demecillo for reference
260311 - Proposed plan submitted; for approval of quotation
260318 - Quotation for Approval
260325 - Phase 1 (Systems Furniture & Finished Goods Area) P.O. Approved; Phase 2 (Metal & Painting) for Schedule, Demecillo needs to acquire installation permit; 50% DP needed; OJTs will model the enclosure
260401 - ongoing feasibility study; for follow up of quotations
260408 - ongoing feasibility study; use freecad automation for comparison
260415 - ongoing feasibility study; for schedule of installation, waiting for downpayment
260422 - to begin installation; fabrication of pipes and fittings",2026-04-29,,,,,
FALSE,,,BFP - Fire Safety Inspection March 2026,Notice to Comply,,"260306 - Requested quotation to Demecillo for Fire Suppression Maintenance; requested quotation for electrical inspection to DCCON
260311 - Fire Suppression Maintenance already PRed
260318 - Preventive Maintenance conducted last March 15, 2026; Waiting for approval of Sprinkler System
260325 - Documents submitted (03-24-26); for schedule of Phase 2 Sprinkler System; Demecillo needs to acquire installation permit to avoid penalties (50% DP needed to proceed with installation permit); Renewal of Fire Brigade Competency Training
260408 - for follow up
260415 - for Follow up c/o sir Rodel
260422 - For schedule c/o BFP",2026-04-29,,,,,
FALSE,,,Tracking Waste Improvement. ,"Make waste Tracking easier - the report auto generated, ",,"251126 - evaluate the Waste Items - and do a sample dry run with Mathew - the waste invenstory. Maintenance inventory 
251204 - after Schedule. Mathew for Schedule of Assets. 
251210 - Meeting later
260107 - For Process Writing - Inventory management process
260206 - For schedule process writing
260220 - For schedule process writing
260225 - For transfer HazWaste Monitoring to ERP, consult with Denzel with regards to ERP
260305 - can use Material Issue module for monitoring purposes
260306 - Draft ERP item - for testing
260311 - For testing
260316 - Draft created
260318 - ISO 14064 - Build into ERPNext GHGA Features; ESG Waste Disposal
260325 - ongoing draft; consult Accounting regarding costs; IT for automation
260401 - ongoing draft
260408 - ongoing draft
260415 - ongoing draft; for checking Google Diagram
260422 - ongoing draft",2026-04-29,,,,,
FALSE,,,MACHINES DISPOSAL,list of machines for donation and disposal,,"251120 - Old PCs and Old Machines for disposal list and who to donate to
251126 - trying to contact Student Council. Comfac will help with the electronic repairs. deed of donation - Westbridge Training 
251204 - Deed of Donation. work out the details of the deed of donationi. 
251210 - 1 pressbrake 32T - for PUP. 
260107 - 1 is donated already Deed of Donaiton from West bridge, Talking to PUP - deed of donation as well. 
260206 - Create list, status and specs list of machines for disposal and donation.
260220 - For compilation of list
260225 - For dismantling of Batch-type; record procedure of installation
260306 - for approval of proposal - Machines for Disposal (proposal approved)
260311 - Coordinated with Westbridge, to submit bid for other Power Press machines and Forklift; Deed of Donation submitted; 
260318 - Waiting for Quotation from Westbridge; meeting with PUP April 9, 2026; Mechanical Footprint of Pressbrake.
260325 - For follow up of quotation
260401 - bid submitted; for compilation
260408 - for compilation of bid proposals
260415 - for compilation of bid proposals until friday, 5 bidders so far
260422 - for awarding of winning bid",2026-04-29,,,,,
TRUE,,,CABLE TRAY,OPTIMIZATION ,,"251029 - powdercoating is too expensive. 
251112 - costing of our cable tray has been approved. request sample - and job site
251120 - costing of our cable tray is now profitable. size and quanitty. 
",2025-11-26,,,https://www.youtube.com/watch?v=MaTrITfMe8w,,
FALSE,,,GENSET,Set up GENSET - to utilize,,"251029 - look for refurbisher - westpoint candidate. Undersized genset, 
251105 - evaluation Quotation for full rehab. carlito to evaluate the scope. 
251112 - PRed 240k full rehab
251120  For PO
251126 - PO, for downpayment - Supplier has begun to fix the small parts. 
251204 - Jano - supplier can start mobilize. 
251210 - Ongoing Rehabilitation
260107 - working now, not yet connected to the Plant. Line 2 of powder coating.  Submission of Roof Quotation
260206 - waiting for quotation from bidders, for designing of layout and raising of roof c/o Edmar Santos to visit on monday 02-09-26
260220 - waiting for quotation
260225 - waiting for quotation
260306 - Goldprime Construction to conduct site survey on March 07, 2026; provides sign & sealed docs
260311 - Site inspection conducted by Goldprime; prioritized Genset Housing renovation and New Warehouse Extension; will submit quotation
260318 - Waiting for Quotation for Genset Renovation; to schedule moving of Genset to the Genset Room
260325 - Waiting for Quotation for Genset Renovation; Genset transferred, waiting for approved drawings for Foundation 
260401 - waiting for quotation; foundation included in the quotation
260408 - waiting for quotation; Goldprime will conduct site survey sometime next week
260415 - genset concerns: two existing electrical lines, possible for rewiring to consolidate main machines to be connected to new genset; for schedule of meeting
260422 - waiting for quotation",2026-04-29,,,does someone buy our used oil? ,,
FALSE,,,RETROFITTING OLD WAREHOUSE,FIX the WEAK mezzanine ,,"251022 - sign and sealed of as built. 
251029 - As built of Old Warehouse and Mezzanine Subcontractor - SPLD 
251105 - PR for Asbuilt of Old Buildings - sign and sealed
251112 - evaluation - for sign and sealed. will be adding some drawings
251120 - drawings by BGCS - ask for timeline and Follow up PO. 
251126 - PO done. Payment and Start
251204 - BGCS has been sent a as built-CAD File of remaining Staff house - Timeline of BGCS response 
260107 - BGCS as built has been sent to the Plant - waiting its arrival. Ask for Digital copy.  Structural Analysis to Follow. 
260206 - Have a separate meeting for the discussion of the new warehouse extension; for quotation of requirements c/o Alibaba
260220 - For quotation of requirements
260225 - For Follow up quotation; consult AI for Warehouse requirements
260306 - Goldprime Construction to conduct site survey on March 07, 2026
260311 - Site inspection conducted by Goldprime; prioritized Genset Housing renovation and New Warehouse Extension; will submit quotation
260318 - Waiting for quotation of Warehouse Renovation; ongoing cutting of trees around warehouse extension
260325 - Waiting for quotation of Warehouse Renovation; ongoing cutting of trees around warehouse extension
260401 - Waiting for quotation of Warehouse Renovation; ongoing cutting of trees around warehouse extension
260408 - waiting for quotation; Goldprime will conduct site survey sometime next week
260415 - waiting for quotation; for visa
260422 - quotation submitted; for evaluation",2026-04-29,,,,,
FALSE,,,ELECTRICAL PERMIT,finish the analysis for Permits,,"251008 - they need ETAP sofware- found software that will do the same job. https://www.pandapower.org/ - action to install and ask questions.  Scheduling meeting with EDD
251015 -  follow up EDD, IT will help to the software and help for the calculation. 
251022 - follow up EDD - https://erp1.cornersteelsystems.com/app/task/ITR-25-0018 panda power installed
251029 - for installation of software, for training - and request meralco for data. What do we request - fault current request. 
251105 - follow up installation
251112 - following up - and Supplier will visit
251120 - Supplier - arc flash analysis - for quotation - follow quotation Timeline. 
251126 - michelle - for quotation, supplier found. 
251204 - Rico Penones - Analsysis will be done - For Quote of Turnkey Solutioin
251210 - For Quotation
260107 - Follow up Quotation 
260206 - application form for completion
260220 - For follow up
260225 - For confirmation of submitted quotation
260306 - ETAP declined to submit proposal; requested proposal from DCCON
260311 - For follow up with DCCON
260318 - Waiting for Quotation from DCCON
260325 - waiting for final quotation
260401 - waiting for updated quotation
260408 - contact sir Carl regarding the signing of electrical plans and application to DOLE; options, someone else does the design
260415 - contractor will visit on 04-17-26; for consolidation of documents
260422 - for outsourcing of another contractor",2026-04-29,,,@ryan  @michael    following up installation - if you need python install training please coordinate with rein and jao https://www.pandapower.org/ https://erp1.cornersteelsystems.com/app/task/ITR-25-0018 @Jao @rein ,,
TRUE,,,SCAFFOLDING ERECTOR,required for AUDIT,,"250919 - process certification
250926 - Lorenze for probee - by Oct 4, already trained certification needed
251008 - signed up in DOLE/TESDA for NC2 certification
251015 - NC2 scaffolding training/seminar moved October 25
Lorenze training done",2025-10-29,,,,,
FALSE,,,ESG PROGRAM,- ESG Expansion,,"250905 - Folding into this all our ESG activities - GHG, Green Labeling, Waste Disposal, as well as other Projects. 
250919 - Signing/Approval , ask for Sir Rickys Timeline/Proposal , ISO 14064 (GHG ), EPR 11084, GHG accounting services
250926 - BV for submission - pending is the consultant and accounting. 
251007 - Cooridnate with ROWI (green projects viber group) - GHG-accounting. Ricky -proposal and BV - revised proposal. to 145 to 90k two topics. EPRA - lnk our key Goals. 
251015 - October 23-24 scheduled training with Bureau Veritas. Coordinate with Sir Ricky
251029 - We are now in process creation.  Draft the scope - All activities and Materials. Deliveries/Shipping, Manpower (SYNX), Materials - how we plan to record each without adding additional work to the affected parties. 
251105 - Iggy and Rowi for Audit training. Process Writing. Outline target- use as a Checklist of Processes needed > Needs/Requirements Mgt. Contract of Sir Ricky DeCastro finalization. 
251112 - ricky decastro - follow up maam lou. 
251120 - Sir JV Mateo can be the consultant. better BV audit requirements. 
251126 - contracts for comparison - for proposal. 
251204 - Scope of Consoluting - Proposal for Consulting from both JV Mateo and Ricky DeCastro - the objective measures and criterias of various - starting with Philippine Local recognition of our ESG program and metrics. https://www.grantthornton.com.ph/technical-alerts/sustainability-alert/2025/summary-of-sec-memorandum-circulars-on-sustainability/#:~:text=4%2D2019,Here%20are%20the%20key%20points%3A  
251210 - ESG - consultant contracts. 
260107 - ESG - additional contracts. > For AI analysis so that you can make RFP  
260206 - ongoing data gathering form Cabuyao, Mandaluyong, and Makati; for schedule of consultancy
260220 - For schedule of meeting with regards to the coverage of ESG
260225 - For follow up of schedule to Bureau Veritas
260306 - meeting with consultant on 03-09-26; La Salle wants to partner with CSC 
260318 - Rowi will be the ESG officer; additional consultants coming from UPLB; meeting on 03-24-26 with Bureau Veritas
260325 - Meeting moved after Holy Week (April 10,2026)
260408 - Meeting moved on Friday 041026
260415 - for proposal
260422 - waiting for quotation",2026-04-29,,,"Link here. 
BV - training. 
Ricky - Consultant. 
BV - certification and audit. 
EPRA, 
GHG Accounting, 
folder of ESG projects",,
TRUE,,,RACK CERTIFICATION,-Our racks need to be certified for safety,,"250905 - waiting for PAYMENT
250919 - Paid, for testing
250926 - Done - for release the certificate. Needs to be bolted to the floor. 
251008 - bolting DONE. TO DO: Tagging and Collision barrier. for Leveling
251015 - Reschechuled on sunday (251019)
251022 - submitted to rodel",2025-10-22,,,,,
FALSE,,,Waste Water Treatment,Partnership with La Salle; construction of waste water treatment,,"260306 - Partnership with La Salle with the construction of water tank; application of permits with DENR, accreditation - waiting for contract & MOA
260318 - Waiting for MOA with DENR
260325 - Waiting for Dr. Andres Myol
260408 - for follow up
260415 - for follow up
260422 - for follow up of Dr. Andres Myol",2026-04-29,,,,,
